component_id,source_phase,component_name,role,causal_status,directional_status,prior_result,eligible_phase80,reason,implementation_source,required_data,notes
P60_DEV_HTF_5M,60,Developing 5M HTF context,CONTEXT,CAUSAL_PASS,INFRASTRUCTURE,P60 causality PASS,True,Canonical developing HTF,phase60/python/context_maps.py,1m OHLC,Not in parquet; use 5m_state proxy
P60_DEV_HTF_15M,60,Developing 15M HTF context,CONTEXT,CAUSAL_PASS,INFRASTRUCTURE,P60 causality PASS,True,Canonical developing HTF,phase60/python/context_maps.py,1m OHLC,Use 15m_state proxy in parquet
P58D_LOCATION_SCORE,58D,Location score threshold,LOCATION,CAUSAL_PASS,NON_DIRECTIONAL,P64 location marginal,True,Entry-time score in P60 stream,canon parquet location_score,P60 parquet,Normalized score at signal
P58D_REACTION_SCORE,58D,Reaction score threshold,REACTION,CAUSAL_PASS,NON_DIRECTIONAL,P63 R3 best but net negative,True,Entry-time score,canon parquet reaction_score,P60 parquet,
P58D_TOTAL_EVIDENCE,58D,Total evidence count,CONTEXT,CAUSAL_PASS,DIRECTIONAL_COMPONENT,P58D canonical,True,Part of signal stack,canon parquet total_evidence,P60 parquet,Directional signal field — filter only
P58E_GOOD_LOCATION,58E,Good location flag,LOCATION,CAUSAL_PASS,NON_DIRECTIONAL,P64 marginal,True,Binary location gate,canon parquet good_location,P60 parquet,
P58E_MARKET_STATE_REV,58E,REVERSAL_TRANSITION state,CONTEXT,CAUSAL_PASS,NON_DIRECTIONAL,P75 observational 1.20R cluster,True,Timing/context not direction,canon parquet market_state,P60 parquet,
P58E_ALIGNED_ACTIVE,58E,Aligned with active move,CONTEXT,CAUSAL_PASS,NON_DIRECTIONAL,Infrastructure,True,Activity alignment,canon parquet aligned_with_active,P60 parquet,
P58F_CONF_HIGH,58F,Direction confidence HIGH+,CONTEXT,CAUSAL_PASS,DIRECTIONAL_COMPONENT,P58F audit layer,True,Filter on existing signal confidence,canon parquet direction_confidence_band,P60 parquet,Not new direction
P58F_HTF_SUPPORT,58F,HTF support code,CONTEXT,CAUSAL_PASS,NON_DIRECTIONAL,Infrastructure,True,Soft HTF agreement,canon parquet htf_support_code,P60 parquet,
P58F_HTF_CONTRA,58F,HTF contradiction absent,CONFLICT,CAUSAL_PASS,VETO,Infrastructure,True,Veto component,canon parquet htf_contra_code,P60 parquet,NOT htf_contra
P58F_FALSE_REV_LOW,58F,Low false reversal risk,CONFLICT,CAUSAL_PASS,VETO,Infrastructure,True,Veto false reversal,canon parquet false_reversal_risk,P60 parquet,
P58F_REVERSAL_STRONG,58F,Strong reversal support,REACTION,CAUSAL_PASS,NON_DIRECTIONAL,Infrastructure,True,Reaction quality,canon parquet reversal_support,P60 parquet,
P58F_PULLBACK_OK,58F,No pullback conflict,CONFLICT,CAUSAL_PASS,VETO,Infrastructure,True,Veto pullback conflict,canon parquet pullback_conflict,P60 parquet,
P58F_HTF_LTF_AGREE,58F,HTF/LTF not disagreeing,CONFLICT,CAUSAL_PASS,VETO,Infrastructure,True,Veto disagreement,canon parquet htf_ltf_disagree,P60 parquet,
